title,revenue,vote_average,vote_count
Halloween III: Season of the Witch,14400000,5.0,229
Halloween: Resurrection,37664855,4.5,228
Halloween: The Curse of Michael Myers,15116634,5.0,170
Hamlet,0,7.3,117
Hamlet 2,0,6.1,56
Hancock,624029371,6.2,2961
Hands of Stone,0,6.1,109
Hang 'em High,6800000,6.7,192
Hanging Up,36037909,5.0,40
Hanna,63782078,6.5,1263
Hannah Montana: The Movie,155545279,6.0,449
Hannibal Rising,82169884,6.0,654
Hansel & Gretel: Witch Hunters,224803475,5.7,3239
Hansel and Gretel Get Baked,0,4.8,67
Happily N'Ever After,38085778,4.6,104
Happiness,2807390,7.4,194
Happy Christmas,0,5.2,58
Happy Feet,384335608,5.9,1410
Happy Feet Two,150406466,5.8,373
Happy Gilmore,41205099,6.5,755
"Happy, Texas",1943649,5.5,39
Hard Candy,7022209,6.8,701
Hard Rain,19870567,5.5,179
Hard to Be a God,1310673,6.7,41
Hardball,40222729,6.3,123
Hardflip,0,4.7,5
Harley Davidson and the Marlboro Man,7434726,6.1,82
Harold & Kumar Escape from Guantanamo Bay,43493123,6.2,497
Harold & Kumar Go to White Castle,23936908,6.6,693
Harper,12000000,6.2,35
Harriet the Spy,0,5.7,46
Harrison Montgomery,0,0.0,0
Harry Brown,10329747,6.7,348
Harry Potter and the Chamber of Secrets,876688482,7.4,5815
Harry Potter and the Goblet of Fire,895921036,7.5,5608
Harry Potter and the Half-Blood Prince,933959197,7.4,5293
Harry Potter and the Order of the Phoenix,938212738,7.4,5494
Harry Potter and the Philosopher's Stone,976475550,7.5,7006
Harry Potter and the Prisoner of Azkaban,789804554,7.7,5877
Harsh Times,5967038,6.3,197
Hart's War,32287044,5.9,241
Harvard Man,0,4.8,15
Hatchet,0,5.7,159
Hav Plenty,0,0.0,0
Hayride,0,5.1,6
Haywire,33372606,5.6,505
He Got Game,21567853,6.7,134
He's Just Not That Into You,177259441,6.2,959
Head Over Heels,10424470,5.3,73
Head of State,0,5.3,71
Headhunters,15699707,7.1,399
Heartbeeps,2154696,3.8,6
Heartbreakers,0,5.7,254
Hearts in Atlantis,24185781,6.4,131
Heaven is for Real,101332962,6.0,229
Heaven's Gate,3484331,6.4,55
Heavenly Creatures,3049135,7.0,294
Heavy Metal,0,6.2,148
Hedwig and the Angry Inch,0,7.4,80
Heist,4100000,5.6,318
Held Up,0,4.9,11
Heli,0,6.2,32
Hell's Angels,8000000,6.1,19
Hellboy,99318987,6.5,2225
Hellboy II: The Golden Army,160388063,6.5,1527
Hellraiser,14564027,6.9,449
Henry & Me,0,3.0,3
Henry V,0,7.4,71
Her,47351251,7.9,4097
Her Cry: La Llorona Investigation,0,0.0,0
Herbie Fully Loaded,66002004,5.1,542
Hercules,243400000,5.6,1680
Here Comes the Boom,73100172,6.0,593
Here On Earth,0,5.4,48
Hereafter,105197635,5.8,510
Hero,177394432,7.2,635
Heroes of Dirt,0,0.0,0
Hesher,382946,6.7,212
Hey Arnold! The Movie,0,5.6,62
Hidalgo,108103450,6.5,318
Hidden Away,0,7.6,26
Hide and Seek,122644820,6.1,440
High Anxiety,31063038,6.5,84
High Crimes,63781810,6.1,184
High Fidelity,47126295,7.0,628
High Heels and Low Lifes,0,6.4,12
High Noon,8000000,7.6,334
High Plains Drifter,15700000,7.4,278
High Road,0,5.8,22
High School Musical,0,6.1,1000
High School Musical 2,7000000,6.1,843
High School Musical 3: Senior Year,0,6.2,821
High Tension,0,6.6,271
Higher Ground,841733,5.3,14
Highlander,5900000,6.8,624
Highlander: Endgame,15843608,4.4,104
Highlander: The Final Dimension,36800000,4.5,110
Highway,0,5.6,37
History of the World: Part I,31672907,6.5,204
Hit & Run,14400000,5.5,224
Hitch,368100420,6.4,1665
Hitman,99965753,5.9,966
Hits,0,4.9,23
Hobo with a Shotgun,748453,5.7,211
Hocus Pocus,39514713,6.4,471
Hoffa,0,6.1,81
Holes,0,6.7,383
Hollow Man,190213455,5.6,634
Hollywood Ending,0,6.4,113
Hollywood Homicide,51142659,5.0,166
Hollywood Shuffle,0,5.7,19
Holy Man,0,4.9,111
Holy Motors,641100,6.9,228
Home,368871007,6.8,1519
Home Alone,476684675,7.1,2414
Home Alone 2: Lost in New York,358991681,6.3,2395
Home Fries,10443316,4.8,32
Home Run,2861020,6.3,24
Home for the Holidays,17519169,6.3,39
Home on the Range,103951461,5.7,389
Homefront,43058898,6.4,875
Honey,62646763,6.0,303
Hoodwinked Too! Hood VS. Evil,13521829,4.8,131
Hoodwinked!,51053787,5.9,479
Hook,300854823,6.6,1532
Hoop Dreams,7830611,7.7,87
Hoot,0,5.5,44
Hop,183953723,5.5,331
Hope Floats,0,5.8,81
Hope Springs,114281051,5.8,284
Horrible Bosses,117000000,6.5,2277
Horrible Bosses 2,107670357,6.1,1536
Horse Camp,0,5.5,2
Hostage,77944725,6.2,512
Hostel,80578934,5.7,887
Hostel: Part II,35619521,5.6,453
Hot Fuzz,80573774,7.4,2199
Hot Pursuit,51680201,5.4,647
Hot Rod,14334401,6.3,313
Hot Tub Time Machine,64572262,6.0,894
Hot Tub Time Machine 2,12314651,5.0,354
Hotel Rwanda,38000000,7.5,793
Hotel Transylvania,358375603,6.8,2566
Hotel Transylvania 2,473226958,6.7,1497
Hotel for Dogs,73034460,5.7,202
House Party 2,0,4.7,21
House at the End of the Drive,0,0.0,0
House at the End of the Street,44287131,5.6,555
House of 1000 Corpses,16829545,6.0,306
House of D,0,6.1,23
House of Flying Daggers,92863945,7.1,439
House of Sand and Fog,16942795,7.0,199
House of Wax,68766121,5.5,677
House on Haunted Hill,40846082,5.5,209
Housebound,0,6.5,358
Housefull,0,5.2,29
How Do You Know,48668907,4.9,223
How Green Was My Valley,6000000,6.8,72
How High,31155435,6.3,218
How She Move,0,3.0,6
How Stella Got Her Groove Back,37672350,6.0,24
How the Grinch Stole Christmas,345141403,6.2,1386
How to Be Single,112343513,5.9,1201
How to Deal,0,5.7,42
How to Fall in Love,0,5.2,20
How to Lose Friends & Alienate People,17286299,6.2,244
How to Lose a Guy in 10 Days,177371441,6.3,850
How to Train Your Dragon,494878759,7.5,4227
How to Train Your Dragon 2,609123048,7.6,3106
Howard the Duck,37962774,5.1,221
Howards End,25966555,6.9,95
Howl's Moving Castle,234710455,8.2,1991
Hud,10000000,7.5,66
Hudson Hawk,17218080,5.4,269
Hugo,185770160,7.0,2141
Hulk,245360480,5.3,1533
Hum To Mohabbat Karega,0,0.0,0
Human Traffic,4000000,6.8,97
Hurricane Streets,0,4.8,4
Hustle & Flow,23563727,6.9,99
I Am Legend,585349010,6.9,4853
I Am Love,0,6.9,73
I Am Number Four,144492830,5.9,1567
I Am Sam,92542418,7.2,530
I Am Wrath,0,4.5,179
I Can Do Bad All By Myself,0,6.0,40
I Come with the Rain,0,5.6,20
I Don't Know How She Does It,30551495,5.0,141
I Dreamed of Africa,0,5.3,18
I Got the Hook Up,0,5.4,8
I Heart Huckabees,0,6.2,239
I Hope They Serve Beer in Hell,1429299,5.7,20
I Know What You Did Last Summer,125586134,5.6,687
I Love You Phillip Morris,10652035,6.4,503
"I Love You, Beth Cooper",0,5.1,197
"I Love You, Don't Touch Me!",0,6.0,1
"I Love You, Man",91636986,6.5,515
I Love Your Work,0,6.5,2
I Married a Strange Person!,203,7.5,12
I Origins,336472,7.5,1063
I Served the King of England,0,7.0,22
I Spit on Your Grave,572809,6.3,519
I Spy,33561137,5.2,269
I Still Know What You Did Last Summer,40002112,5.1,374
I Think I Love My Wife,13196245,5.0,55
I Want Someone to Eat Cheese With,0,5.7,12
I Want Your Money,0,3.8,5
I'm Not There.,4001121,6.6,195
"I, Frankenstein",71154592,5.0,687
"I, Robot",347234916,6.7,3793
Ice Age,383257136,7.1,3857
Ice Age: Continental Drift,877244782,6.2,2672
Ice Age: Dawn of the Dinosaurs,886686817,6.5,2271
Ice Age: The Meltdown,660940780,6.5,2951
Ice Princess,27645491,5.9,185
Ida,10700000,7.1,260
Identity,90259536,7.1,1061
Identity Thief,173965010,5.6,1645
Idiocracy,495303,6.3,664
Idle Hands,4152230,6.1,182
Idlewild,0,5.1,17
If I Stay,78874843,7.3,1368
Igby Goes Down,4777465,6.5,95
Iguana,0,6.0,1
Illuminata,0,6.3,7
Imaginary Heroes,0,6.3,29
Imagine Me & You,2455831,7.0,177
Imagine That,0,5.7,134
Immortals,226904017,5.7,880
Impact Point,0,5.7,5
Impostor,0,6.1,135
In & Out,0,6.3,177
In Bruges,34533783,7.4,1388
In Cold Blood,13007551,7.4,82
In Dreams,0,5.4,44
In Good Company,0,5.9,194
In Her Line of Fire,0,3.3,9
In Time,173930596,6.7,3417
In Too Deep,14011454,6.2,17
In the Bedroom,0,6.4,89
In the Company of Men,0,6.8,44
In the Cut,23,4.6,89
In the Heart of the Sea,93820758,6.5,1276
In the Land of Blood and Honey,303877,5.8,45
In the Land of Women,17500000,5.8,160
In the Name of the King III,0,3.3,19
In the Name of the King: A Dungeon Siege Tale,0,4.1,224
In the Shadow of the Moon,0,7.6,31
In the Valley of Elah,29541790,6.6,261
Incendies,7103838,7.9,479
Inception,825532764,8.1,13752
Inchon,5200000,6.5,2
Incident at Loch Ness,0,5.9,18
Independence Day,816969268,6.7,3260
Independence Day: Resurgence,389681935,4.9,2491
Independence Daysaster,0,4.2,22
Indiana Jones and the Kingdom of the Crystal Skull,786636033,5.7,2495
Indiana Jones and the Last Crusade,474171806,7.6,3152
Indiana Jones and the Temple of Doom,333000000,7.1,2781
Indie Game: The Movie,0,7.4,203
Indignation,0,6.8,69
Inescapable,0,5.2,13
Infamous,1151330,6.4,60
Inglourious Basterds,319131050,7.9,6430
Inherent Vice,11110975,6.5,833
Ink,0,6.4,101
Inkheart,57490374,6.0,592
Inside Deep Throat,653621,6.8,31
Inside Job,7871522,7.7,286
Inside Llewyn Davis,32935319,7.2,834
Inside Man,184376254,7.3,1630
Inside Out,857611174,8.0,6560
Insidious,97009150,6.8,1737
Insidious: Chapter 2,0,6.5,1211
Insidious: Chapter 3,104303851,6.2,983
Insomnia,113714830,6.8,1148
Inspector Gadget,0,4.3,318
Instinct,0,6.2,146
Instructions Not Included,99067206,7.5,205
Insurgent,295238201,6.2,3829
Interstellar,675120017,8.1,10867
Interview with the Assassin,0,5.6,5
Interview with the Vampire,223664608,7.2,1516
Into the Blue,44434439,5.8,458
Into the Grizzly Maze,0,5.1,74
Into the Storm,160602194,5.8,817
Into the Wild,56255142,7.8,3045
Into the Woods,212902372,5.6,1652
Intolerable Cruelty,119940815,5.8,391
Intolerance,8394751,7.4,60
Invaders from Mars,4884663,5.5,57
Invasion U.S.A.,0,5.3,49
Invictus,122233971,7.0,1125
Ip Man 3,156844753,6.5,379
Ira & Abby,0,5.8,9
Iraq for Sale: The War Profiteers,0,8.0,6
Iris,0,6.2,47
Iron Man,585174222,7.4,8776
Iron Man 2,623933331,6.6,6849
Iron Man 3,1215439994,6.8,8806
Ironclad,0,6.2,227
Irreversible,792,7.1,538
Ishtar,14375181,4.2,28
Isn't She Great,3003296,4.6,14
It Follows,14674076,6.6,1832
It Happened One Night,4500000,7.7,275
It's All Gone Pete Tong,120620,7.1,52
It's Complicated,219103655,6.2,360
It's Kind of a Funny Story,6491240,6.9,672
"It's a Mad, Mad, Mad, Mad World",60000000,7.0,140
It's a Wonderful Afterlife,0,4.3,9
It's a Wonderful Life,9644124,8.0,1076
J. Edgar,84606030,6.0,741
JFK,205405498,7.5,502
Jab Tak Hai Jaan,0,7.3,66
Jack Brooks: Monster Slayer,0,5.7,59
Jack Reacher,218340595,6.3,2998
Jack Ryan: Shadow Recruit,50549107,5.9,1173
Jack and Jill,149673788,4.1,604
Jack the Giant Slayer,197687603,5.5,2598
Jackass 3D,117224271,6.4,428
Jackass Number Two,72778712,6.4,298
Jackass: The Movie,64282312,6.1,345
Jackie Brown,39673162,7.3,1514
Jade,9851610,5.2,44
Jakob the Liar,0,6.0,90
Jane Got a Gun,1397284,5.4,285
Janky Promoters,9069,7.0,5
Jarhead,96889998,6.6,765
Jason Bourne,415484914,5.9,2341
Jason Goes to Hell: The Final Friday,15938065,4.2,193
Jason X,16951798,4.5,291
Jawbreaker,3076820,5.9,90
Jaws,470654000,7.5,2542
Jaws 2,187884007,5.9,406
Jaws: The Revenge,51881013,3.5,224
Jay and Silent Bob Strike Back,33788161,6.4,480
Jeepers Creepers,59217789,6.1,720
Jeepers Creepers 2,63102666,5.5,299
"Jeff, Who Lives at Home",4417580,6.1,217
Jefferson in Paris,2474000,5.2,10
Jekyll and Hyde ... Together Again,0,4.6,5
Jennifer's Body,31556061,5.3,837
Jerry Maguire,273552592,6.7,913
Jersey Boys,67347013,6.8,255
Jersey Girl,36098382,5.8,325
Jesus' Son,0,6.7,22
Jimmy Neutron: Boy Genius,80936232,5.6,231
Jimmy and Judy,0,5.4,8
Jindabyne,0,5.7,25
Jingle All the Way,129832389,5.5,575
Joe,2365467,6.5,338
Joe Dirt,30987695,5.5,242
Joe Somebody,0,5.5,40
John Carter,284139100,6.1,2124
John Q,102244770,7.0,594
Johnny English,160583018,6.0,852
Johnny English Reborn,160078586,6.0,1007
Johnny Suede,0,4.7,13
Johnson Family Vacation,31179516,4.7,30
Jonah Hex,10539000,4.4,420
Jonah: A VeggieTales Movie,0,6.4,22
Josie and the Pussycats,0,5.3,72
Journey 2: The Mysterious Island,355692760,5.8,1030
Journey from the Fall,639000,5.0,1
Journey to Saturn,0,4.9,10
Journey to the Center of the Earth,101702060,5.8,1309
Joy,101134059,6.4,1581
Joy Ride,36642838,6.3,325
Joyeux Noël,17709155,7.2,212
Joyful Noise,0,6.7,33
Judgment at Nuremberg,10000000,7.6,155
Julia,0,6.3,30
Julie & Julia,129540499,6.6,560
Juliet and Alfa Romeo,0,6.0,1
Jumper,222231186,5.9,1799
Jumping the Broom,37710610,6.0,56
Jungle Shuffle,0,6.5,1
Juno,231411584,7.0,2244
Jupiter Ascending,183987723,5.2,2768
Jurassic Park,920100000,7.6,4856
Jurassic Park III,368780809,5.7,2077
Jurassic World,1513528810,6.5,8662
Just Go with It,214918407,6.3,1543
Just Like Heaven,102854431,6.5,579
Just Looking,0,5.8,5
Just Married,101564935,5.3,404
Just My Luck,38159905,5.8,491
Just Visiting,0,4.8,171
Just Wright,21520719,6.1,99
Justin Bieber: Never Say Never,98441954,4.8,154
Juwanna Mann,0,4.2,20
K-19: The Widowmaker,35168966,6.1,264
K-PAX,50315140,7.1,695
Kabhi Alvida Naa Kehna,17000000,6.1,42
Kama Sutra - A Tale of Love,4109095,5.7,35
Kangaroo Jack,0,4.3,203
Kansas City,0,6.1,12
Karachi se Lahore,0,8.0,1
Kate & Leopold,0,6.0,418
Katy Perry: Part of Me,32726956,6.5,85
Keanu,20566327,6.0,421
Keeping Up with the Steins,0,5.2,18
Keeping the Faith,37036004,5.9,159
Kevin Hart: Laugh at My Pain,0,7.7,43
Kevin Hart: Let Me Explain,32230907,7.1,95
Khiladi 786,126,4.7,11
Khumba,27187375,5.8,72
Kick-Ass,96188903,7.1,4645
Kick-Ass 2,60700000,6.3,2224
Kickboxer: Vengeance,0,4.5,99
Kicking & Screaming,56070433,5.6,176
Kicks,0,7.5,18
Kids,7412216,6.8,279
Kill Bill: Vol. 1,180949000,7.7,4949
Kill Bill: Vol. 2,152159461,7.6,3948
Kill List,171760,6.0,210
Kill the Messenger,2450846,6.6,355
Killer Elite,57777106,6.1,695
Killer Joe,3665069,6.5,425
Killers,98159963,5.7,772
Killing Them Softly,37930465,5.8,742
Killing Zoe,418961,6.1,111
Kindergarten Cop,201957688,5.8,628
King Kong,550000000,6.6,2337
King's Ransom,0,5.1,14
Kingdom of Heaven,211643158,6.6,1157
Kingdom of the Spiders,17000000,5.7,30
Kingpin,25023434,6.7,244
Kinsey,0,6.6,131
Kiss Kiss Bang Bang,15785148,7.2,886
Kiss of Death,0,5.7,81
Kiss of the Dragon,64437847,6.4,298
Kiss the Bride,0,4.2,11
Kiss the Girls,60527873,6.2,345
Kissing Jessica Stein,10013424,5.9,48
Kit Kittredge: An American Girl,0,6.4,34
Kites,0,6.0,40
Knight and Day,261930431,5.9,1547
Knock Off,0,4.7,64
Knockaround Guys,12000000,5.9,97
Knocked Up,219076518,6.2,1214
Knowing,155446362,5.9,1486
Krampus,61548707,5.9,584
Krrish,0,5.5,46
Krull,16519460,5.8,129
Krush Groove,0,7.0,11
Kundun,5684789,6.8,91
Kung Fu Hustle,100914445,7.2,831
Kung Fu Jungle,0,6.5,114
Kung Fu Panda,631744560,6.9,3145
Kung Fu Panda 2,665692281,6.7,1880
Kung Fu Panda 3,521170825,6.7,1603
Kung Pow: Enter the Fist,0,6.1,159
L!fe Happens,30905,5.3,66
L.A. Confidential,126216940,7.7,1310
L.I.E.,1667192,6.7,31
LOL,0,5.9,881
La Bamba,54215416,6.8,116
Labor Day,20275812,6.7,299
Ladder 49,74541707,6.2,207
Lady in White,0,6.3,25
Lady in the Water,42285169,5.3,409
Ladyhawke,18432000,6.8,260
Lage Raho Munna Bhai,0,7.6,44
Lake Mungo,0,6.1,90
Lake Placid,56870414,5.5,247
Lake of Fire,25,8.0,10
Lakeview Terrace,27640028,5.9,292
Land of the Dead,46770602,6.0,381
Land of the Lost,68688831,5.3,381
Lara Croft Tomb Raider: The Cradle of Life,156505388,5.5,1418
Lara Croft: Tomb Raider,274703340,5.7,2192
Larry Crowne,36160375,5.7,359
Larry the Cable Guy: Health Inspector,0,3.3,17
Lars and the Real Girl,11293663,7.1,509
Last Action Hero,137298489,6.1,712
Last Holiday,38399961,6.4,119
Last I Heard,0,6.0,1
Last Orders,0,6.0,22
Last Vegas,134402450,6.4,799
Latter Days,819939,6.7,56
Law Abiding Citizen,126690726,7.2,1486
Lawrence of Arabia,69995385,7.8,851
Laws of Attraction,30016165,5.6,104
Layer Cake,11850214,7.0,559
Le Havre,0,6.8,97
Leap Year,29922472,6.4,465
Leatherheads,41299492,5.7,130
Leaving Las Vegas,49800000,7.1,360
Left Behind,19682924,3.7,392
Legal Eagles,0,5.8,51
Legally Blonde,141774679,6.1,882
"Legally Blonde 2: Red, White & Blonde",124914842,5.1,377
Legend,42972994,6.7,973
Legend of a Rabbit,2570000,3.0,3
Legend of the Guardians: The Owls of Ga'Hoole,140073390,6.5,703
Legends of Oz: Dorothy's Return,18662027,5.9,43
Legends of the Fall,160638883,7.2,619
Legion,67918658,5.2,629
Les Misérables,441809770,7.1,1884
Lesbian Vampire Killers,0,5.3,124
Let Me In,24145613,6.7,641
Let's Be Cops,136621271,6.4,1219
Let's Go to Prison,4630045,5.5,69
Let's Kill Ward's Wife,0,5.5,76
Lethal Weapon 3,321731527,6.4,811
Lethal Weapon 4,285444603,6.3,767
Letters from Iwo Jima,68673228,7.2,541
Letters to God,0,6.5,37
Letters to Juliet,0,6.6,796
Liar Liar,181000000,6.4,1424
Licence to Kill,156167015,5.9,541
License to Wed,69307224,5.2,253
Lies in Plain Sight,0,4.5,4
Life During Wartime,744816,6.3,30
Life as a House,0,7.2,120
Life of Pi,609016565,7.2,5797
Life or Something Like It,16872671,5.7,124
Lifeforce,0,6.2,135
Light It Up,0,6.6,7
Light Sleeper,0,5.7,15
Light from the Darkroom,0,0.0,0
Lights Out,44107032,6.3,1129
Like Crazy,3542353,6.4,381
Like Mike,0,5.7,100
Lilo & Stitch,145771527,7.1,1314
Lilya 4-ever,0,7.7,139
Limbo,1997807,7.0,17
Lincoln,275293450,6.7,1429
Lion of the Desert,0,7.4,34
Lions for Lambs,63215872,6.0,216
Lisa Picard Is Famous,0,4.0,1
Listening,0,5.5,31
Little Big Top,0,10.0,1
Little Black Book,22034832,5.2,112
Little Boy,6420319,7.0,185
Little Children,14821658,6.9,240
Little Fockers,310650585,5.4,1060
Little Man,101595121,5.3,261
Little Miss Sunshine,100523181,7.5,1686
Little Nicholas,0,5.9,306
Little Nicky,0,5.2,438
Little Shop of Horrors,38748395,6.6,384
Little Voice,0,6.6,61
Little White Lies,48531470,7.1,380
Little Women,0,7.0,215
Live Free or Die Hard,383531464,6.4,2089
Live and Let Die,161777836,6.4,533
Live-In Maid,0,7.8,3
Living Out Loud,12902790,5.3,11
"Lock, Stock and Two Smoking Barrels",3897569,7.5,1648
Locker 13,0,6.8,3
Lockout,32204030,5.8,715
Logan's Run,25000000,6.6,269
Lolita,9250000,7.3,395
London,0,6.1,96
London Has Fallen,205754447,5.8,1621
London to Brighton,0,6.5,34
Lone Star,13269963,6.9,77
Lone Survivor,149295601,7.4,1526
Lone Wolf McQuade,12232628,5.5,67
Lonesome Jim,0,6.4,26
Looney Tunes: Back in Action,68514844,5.6,297
Looper,47042000,6.6,4697
Loose Cannons,8220215,7.0,118
Lord of War,24127895,7.0,1335
Lords of Dogtown,13411957,7.0,210
Lords of London,0,3.6,6
Loser,0,5.0,120
Losin' It,1246141,4.5,31
Lost Souls,0,4.5,38
Lost in Space,136159423,5.0,388
Lost in Translation,119723856,7.3,1895
Lottery Ticket,0,5.6,54
Love & Basketball,27728118,7.4,88
Love & Other Drugs,102820008,6.6,1233
Love Actually,244931766,7.0,1869
Love Happens,36133014,5.6,180
Love Jones,0,8.1,12
Love Letters,0,4.6,4
Love Me Tender,9000000,5.5,21
Love Ranch,0,6.0,21
Love Stinks,0,5.4,11
Love and Death on Long Island,0,6.9,11
Love and Other Catastrophes,0,5.8,9
Love in the Time of Cholera,4607608,6.4,81
Love in the Time of Monsters,0,5.0,2
Love the Coopers,24000000,5.4,167
Love's Abiding Joy,0,5.8,12
Lovely & Amazing,4186931,6.3,23
"Lovely, Still",0,6.2,13
Loving Annabelle,0,6.4,55
Lucky Break,0,6.5,11
Lucky Number Slevin,56308881,7.4,1323
Lucky Numbers,0,4.9,52
Lucky You,5761917,5.4,81
Lucy,126546825,6.3,5878
MacGruber,6110000,5.1,179
Machete,31327899,6.3,1150
Machete Kills,15008161,5.3,631
Machine Gun McCain,0,7.3,6
Machine Gun Preacher,2527904,6.4,286
Mad City,10541523,5.9,81
Mad Hot Ballroom,0,7.2,8
Mad Max,100000000,6.6,1213
Mad Max 2: The Road Warrior,24600832,7.3,957
Mad Max Beyond Thunderdome,36230219,5.9,748
Mad Max: Fury Road,378858340,7.2,9427
Mad Money,0,5.9,140
Madadayo,0,7.5,20
Madagascar,532680671,6.6,3237
Madagascar 3: Europe's Most Wanted,746921274,6.4,1808
Madagascar: Escape 2 Africa,603900354,6.2,1810
Made,5476060,6.3,55
Made in Dagenham,0,6.6,94
Made of Honor,84601681,6.0,394
Madea Goes to Jail,90508336,6.4,52
Madea's Family Reunion,57231524,6.0,77
Madea's Witness Protection,0,5.9,52
Madison,0,5.3,3
Maggie,187112,5.2,593
Magic Mike,167221571,6.1,1040
Magic Mike XXL,122513057,6.3,706
Magnolia,48451803,7.5,825
Maid in Manhattan,154906693,5.6,485
Major Dundee,14873,6.2,38
Major League,49797148,6.6,217
Malcolm X,48169908,7.2,370
Maleficent,758539785,7.0,4496
Malevolence,0,4.9,14
Malibu's Most Wanted,0,4.7,77
Mallrats,2122561,6.8,392
Malone,0,6.8,15
Mama,146497771,6.0,1401
Mambo Italiano,3031801,5.6,28
Mamma Mia!,609841637,6.4,1386
Man of Steel,662845518,6.5,6359
Man of the House,0,5.4,120
Man of the Year,41237648,5.8,129
Man on Fire,130293714,7.3,1553
Man on Wire,2957978,7.5,275
Man on a Ledge,46221189,6.2,925
Man on the Moon,47434430,6.9,435
Mandela: Long Walk to Freedom,27330000,6.5,224
Manderlay,674918,6.9,78
Maniac,31081,6.0,316
Manito,0,5.5,2
Mao's Last Dancer,20719451,6.8,28
March of the Penguins,127392239,6.9,358
March or Die,0,6.2,16
Marci X,1675706,3.3,12
Margaret,46495,6.1,86
Margin Call,19504039,6.7,524
Maria Full of Grace,0,6.9,101
Marie Antoinette,60474340,6.5,642
Marley & Me,244082376,6.9,1343
Marmaduke,83761844,5.0,149
Married Life,0,6.1,38
Mars Attacks!,101371017,6.1,1509
Mars Needs Moms,38992758,5.5,199
Martha Marcy May Marlene,3538446,6.7,277
Martian Child,0,6.8,79
Martin Lawrence Live: Runteldat,19184015,5.0,1
Marvin's Room,0,6.6,124
Mary Poppins,102272727,7.4,1183
Mary Reilly,12379402,5.7,74
Masked and Anonymous,0,5.2,13
Master and Commander: The Far Side of the World,212011111,6.9,790
Match Point,85306374,7.3,1105
Maurice,0,7.1,61
Max,43967255,6.8,276
Max Keeble's Big Move,17292381,5.4,33
Max Payne,85416905,5.2,613
Maximum Risk,51702483,5.2,101
May,150277,6.3,152
Maze Runner: The Scorch Trials,311256926,6.4,3040
"McFarland, USA",45710059,7.4,213
Me Before You,207945075,7.6,2562
Me You and Five Bucks,0,10.0,2
Me and Orson Welles,2336172,6.6,49
Me and You and Everyone We Know,0,7.0,107
"Me, Myself & Irene",149270999,6.1,927
Mean Creek,603943,6.9,106
Mean Girls,129042871,6.9,2320
Mean Machine,0,6.0,157
Mean Streets,3000000,7.2,345
Medicine Man,0,5.8,114
Meek's Cutoff,876302,6.5,77
Meet Dave,50650079,5.0,371
Meet Joe Black,142940100,6.9,1147
Meet the Deedles,4562146,4.1,19
Meet the Fockers,516642939,6.1,1373
Meet the Parents,330444045,6.6,1698
Meet the Spartans,84646831,3.7,359
Megaforce,0,3.5,15
Megamind,321887208,6.7,1918
Megiddo: The Omega Code 2,0,3.6,8
Melancholia,21817298,7.0,885
Memento,39723096,8.1,4028
Memoirs of a Geisha,162242962,7.3,652
Memoirs of an Invisible Man,14358033,5.7,125
Men in Black,589390539,6.9,4412
Men in Black 3,624026776,6.2,4160
Men in Black II,441818803,6.0,3114
Men of Honor,48814909,7.0,544
Men of War,0,5.4,29
Men with Brooms,4245870,4.5,7
Menace II Society,27900000,7.2,173
Mercury Rising,0,6.0,368
Mercy Streets,0,5.5,2
Message in a Bottle,118880016,5.8,196
Metallica: Through the Never,7972967,6.7,83
Meteor,0,5.1,36
Metropolis,650422,8.0,657
Metropolitan,0,7.0,38
Mi America,3330,0.0,0
Michael Clayton,92991835,6.5,501
Michael Collins,16900000,6.7,97
Michael Jordan to the Max,21268532,7.5,10
Mickey Blue Eyes,0,5.3,140
Micmacs,14000000,6.8,148
Middle of Nowhere,0,6.6,7
Midnight Cabaret,0,0.0,0
Midnight Cowboy,44785053,7.4,299
Midnight Run,38413606,7.2,238
Midnight Special,6212282,6.2,694
Midnight in Paris,151119219,7.4,1990
Midnight in the Garden of Good and Evil,25105255,6.3,157
Mighty Joe Young,0,5.9,208
Milk,54586584,7.1,612
Million Dollar Arm,38307627,6.6,259
Million Dollar Baby,216763646,7.7,2439
Mindhunters,21148829,6.3,333
Minions,1156730962,6.4,4571
Minority Report,358372926,7.1,2608
Miracle,64445708,7.0,159
Miracle at St. Anna,9323833,6.3,90
Miracles from Heaven,77000000,6.7,186
Mirror Mirror,183018522,5.5,1114
Mirrormask,866999,6.6,102
Mirrors,72436439,6.0,485
Misconduct,0,5.3,149
Miss Congeniality,212000000,6.1,961
Miss Congeniality 2: Armed and Fabulous,0,5.3,425
Miss Julie,5000000,5.9,45
Miss March,0,5.4,77
Miss Potter,35078241,6.3,141
Mission to Mars,60874615,5.7,369
Mission: Impossible,457696359,6.7,2631
Mission: Impossible - Ghost Protocol,694713380,6.8,3972
Mission: Impossible - Rogue Nation,682330139,7.1,3224
Mission: Impossible II,546388105,5.9,1928
Mission: Impossible III,397850012,6.5,2028
Mississippi Mermaid,0,6.7,32
Mo' Better Blues,16153593,6.3,47
Moby Dick,10400000,6.9,89
Modern Problems,0,5.6,23
Modern Times,8500000,8.1,856
Moliere,0,6.7,45
Molly,0,5.5,14
Mommie Dearest,0,6.5,54
Moms' Night Out,10429707,5.5,121
Mona Lisa Smile,0,6.5,393
Mondays in the Sun,146402,7.1,36
